File: log_2011.12.20 07:41:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:42:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:44:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:44:23.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:46:23.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:50:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:52:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:53:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:54:16.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:54:36.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:55:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:58:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:58:36.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:58:56.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:01:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:02:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:08:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:10:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:11:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:12:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:23:51.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:32:31.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:48:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:50:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:57:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:57:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:58:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:58:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:59:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:59:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:00:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:00:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:00:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:01:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:01:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:02:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:02:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:02:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:03:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:03:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:04:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:05:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:06:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:06:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:06:48.txt, 거리: 0.5123194369543562
File: log_2011.12.20 09:07:08.txt, 거리: 0.5038298447329852
File: log_2011.12.20 09:07:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:11:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:11:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:11:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:12:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 09:13:48.txt, 거리: 0.6088925273853742
File: log_2011.12.20 09:14:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:14:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:14:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:15:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:15:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:15:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:16:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:16:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:16:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:17:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:17:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:17:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:18:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:18:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:18:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:19:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:19:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:19:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:20:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:20:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:20:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:21:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:21:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:21:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:22:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:22:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:22:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:23:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:23:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:23:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:24:08.txt, 거리: 0.5291294000786022
File: log_2011.12.20 09:26:08.txt, 거리: 0.5785956933320278
File: log_2011.12.20 10:18:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:19:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:19:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:19:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:20:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:20:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:26:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:26:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:26:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:27:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:27:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:27:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:28:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:28:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:28:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:29:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:29:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:29:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:32:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:32:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:33:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:33:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:33:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:34:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:34:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:34:54.txt, 거리: 0.5608626151816656
File: log_2011.12.20 10:35:14.txt, 거리: 0.6211537786969061
File: log_2011.12.20 10:35:34.txt, 거리: 0.6211537786969061
File: log_2011.12.20 10:36:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:36:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:36:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:37:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:37:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:37:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:38:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:38:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:38:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:39:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:39:34.txt, 거리: 0.9875781335701138
File: log_2011.12.20 10:39:54.txt, 거리: 0.9875781335701138
