File: log_2011.12.19 19:59:14.txt, 거리: 0.19147078392210803
File: log_2011.12.19 19:59:34.txt, 거리: 0.1736450899881391
File: log_2011.12.19 19:59:54.txt, 거리: 0.18437174082376095
File: log_2011.12.19 20:00:14.txt, 거리: 0.09878602442448126
File: log_2011.12.19 20:00:34.txt, 거리: 0.18978182924662135
File: log_2011.12.19 20:00:54.txt, 거리: 0.17103339636647652
File: log_2011.12.19 20:04:59.txt, 거리: 0.27615437200283943
File: log_2011.12.19 20:05:19.txt, 거리: 0.231546980259555
File: log_2011.12.19 20:05:39.txt, 거리: 0.2714626436137889
File: log_2011.12.19 20:05:59.txt, 거리: 0.27464781851073417
File: log_2011.12.19 20:06:19.txt, 거리: 0.3066986956073813
File: log_2011.12.19 20:06:39.txt, 거리: 0.4479301047132809
File: log_2011.12.19 20:06:59.txt, 거리: 0.16160548835499255
File: log_2011.12.19 20:07:19.txt, 거리: 0.2576802243176637
File: log_2011.12.19 20:07:39.txt, 거리: 0.29333787707255354
File: log_2011.12.19 20:07:59.txt, 거리: 0.29679136697001507
File: log_2011.12.19 20:08:19.txt, 거리: 0.17818826096621432
File: log_2011.12.19 20:08:39.txt, 거리: 0.3003022549822052
File: log_2011.12.19 20:08:59.txt, 거리: 0.28069518367705226
File: log_2011.12.19 20:09:19.txt, 거리: 0.31494368154365204
File: log_2011.12.19 20:09:39.txt, 거리: 0.17888133664172545
File: log_2011.12.19 20:10:11.txt, 거리: 0.20186550962961358
File: log_2011.12.19 20:10:31.txt, 거리: 0.32055785178458396
File: log_2011.12.19 20:10:51.txt, 거리: 0.18998038311290588
File: log_2011.12.19 20:11:11.txt, 거리: 0.28618718924480335
File: log_2011.12.19 20:11:31.txt, 거리: 0.2421076755361944
File: log_2011.12.19 20:11:51.txt, 거리: 0.1787116135751442
File: log_2011.12.19 20:12:11.txt, 거리: 0.16186036910465806
File: log_2011.12.19 20:12:31.txt, 거리: 0.26651582789565553
File: log_2011.12.19 20:12:51.txt, 거리: 0.24301933730306646
File: log_2011.12.19 20:13:32.txt, 거리: 0.27846975688459263
File: log_2011.12.19 20:13:52.txt, 거리: 0.41480352453173
File: log_2011.12.19 20:14:12.txt, 거리: 0.210312556590046
File: log_2011.12.19 20:14:32.txt, 거리: 0.371855816334529
File: log_2011.12.19 20:14:52.txt, 거리: 0.4006371687407555
File: log_2011.12.19 20:15:12.txt, 거리: 0.2396411836145207
File: log_2011.12.19 20:15:32.txt, 거리: 0.2125410346020692
File: log_2011.12.19 20:15:52.txt, 거리: 0.26822811859103035
File: log_2011.12.19 20:16:35.txt, 거리: 0.27391338662708264
File: log_2011.12.19 20:16:55.txt, 거리: 0.19573425511316445
File: log_2011.12.19 20:17:15.txt, 거리: 0.30360009630049734
File: log_2011.12.19 20:17:35.txt, 거리: 0.30417112645581157
File: log_2011.12.19 20:17:55.txt, 거리: 0.3008176914253534
File: log_2011.12.19 20:18:15.txt, 거리: 0.28501235470872244
File: log_2011.12.19 20:18:35.txt, 거리: 0.28482514495891575
File: log_2011.12.19 20:18:55.txt, 거리: 0.18356037647066814
File: log_2011.12.19 20:19:15.txt, 거리: 0.19906635442876564
File: log_2011.12.19 20:19:35.txt, 거리: 0.4315232241265895
File: log_2011.12.19 20:20:21.txt, 거리: 0.2756069526571635
File: log_2011.12.19 20:20:41.txt, 거리: 0.36481026739980393
File: log_2011.12.19 20:21:01.txt, 거리: 0.2135059522223427
File: log_2011.12.19 20:21:21.txt, 거리: 0.1709924373142263
File: log_2011.12.19 20:21:41.txt, 거리: 0.2935639350836948
File: log_2011.12.19 20:22:01.txt, 거리: 0.2860588946076541
File: log_2011.12.19 20:22:21.txt, 거리: 0.27457627330091916
File: log_2011.12.19 20:22:41.txt, 거리: 0.2797452601917514
File: log_2011.12.19 20:23:01.txt, 거리: 0.21232216467242604
